Hari,Ramalan Cuaca,Temperature,Kelembapan,Kecepatan Angin,Bermain Sepakbola?
D1,Cerah,Panas,Tinggi,Rendah,Tidak
D2,Cerah,Panas,Tinggi,Kuat,Tidak
D3,Mendung,Panas,Tinggi,Rendah,Ya
D4,Hujan,Sedang,Tinggi,Rendah,Ya
D5,Hujan,Dingin,Normal,Rendah,Ya
D6,Hujan,Dingin,Normal,Kuat,Tidak
D7,Mendung,Dingin,Normal,Kuat,Ya
D8,Cerah,Sedang,Tinggi,Rendah,Tidak
D9,Cerah,Dingin,Normal,Rendah,Ya
D10,Hujan,Sedang,Normal,Rendah,Ya
D11,Cerah,Sedang,Normal,Kuat,Ya
D12,Mendung,Sedang,Tinggi,Kuat,Ya
D13,Mendung,Panas,Normal,Rendah,Ya
D14,Hujan,Sedang,Tinggi,Kuat,Tidak
